"","Predictor","Estimate","StdError","PValue","FDR","logFDR"
"LPC_O_16_1_","LPC_O_16_1_",-2.17684733302376,0.940143593096542,0.0205887917930241,0.137917309852225,0.860381222573078
"LPC_O_17_1_","LPC_O_17_1_",0.184134380756018,0.325849596786438,0.572012482887822,0.798482731214838,0.0977344719102233
"LPC_O_18_0_","LPC_O_18_0_",1.42016688857708,1.29508993590279,0.272825991084843,0.54886169971186,0.260537073798706
"LPC_O_18_1_","LPC_O_18_1_",-4.17337567804299,1.53905814162942,0.00669507291502588,0.104077951679039,0.982641263556811
"LPC_O_18_2_","LPC_O_18_2_",1.41253636176509,2.58995023895562,0.585484413705226,0.807401893093497,0.0929102366459231
"PC_24_0_","PC_24_0_",2.52835751008667,4.51771038964903,0.575715038442423,0.800384321737027,0.0967014270945256
"PC_25_0_","PC_25_0_",1.52048423279032,5.06928121270779,0.764222316790528,0.901752530533155,0.0449126302737594
"PC_27_1_","PC_27_1_",-6.56019798087418,4.80990627119057,0.172601212396947,0.416785807951801,0.380087077695951
"PC_28_1_","PC_28_1_",1.62250657887618,4.67824525322658,0.728726942658118,0.880652347664581,0.0551955028122536
"PC_29_0_","PC_29_0_",1.53844420755409,3.98283205631826,0.699297521407718,0.860286878854098,0.0653567009336696
"PC_29_2_","PC_29_2_",-6.51931828693579,3.04132979961612,0.032066961984271,0.166165166645768,0.779460012555876
"PC_30_0_","PC_30_0_",-0.0753355884784029,0.202421759199942,0.709765242381552,0.865335608021761,0.0628154249696047
"PC_30_1_","PC_30_1_",-0.147149548153908,0.979507279268101,0.880584632179668,0.953037798118501,0.0208898746095624
"PC_31_0_","PC_31_0_",-0.481978433686711,1.0325668171098,0.640659438158048,0.82370499191749,0.0842283020439341
"PC_31_1_","PC_31_1_",-0.861913486909134,2.75473415234529,0.754368450107892,0.901205552081082,0.0451761413703665
"PC_31_2_","PC_31_2_",-1.03128708949054,6.13481519454137,0.866501447710525,0.948958864289241,0.0227526130725965
"PC_31_3_","PC_31_3_",2.32083344087974,2.78457622065368,0.404585237880705,0.674966591976591,0.170717722397534
"PC_32_0_","PC_32_0_",-0.0153924754863282,0.0715768867633246,0.829729795741161,0.937745641030409,0.0279149459251361
"PC_32_1_","PC_32_1_",0.0507476534330356,0.026832726618997,0.0585896907795877,0.20657396130535,0.684924422284401
"PC_32_2_","PC_32_2_",0.0142279563097751,0.1428271143068,0.920648687834498,0.971795837158637,0.0124249656382164
"PC_32_3_","PC_32_3_",0.0811935874901111,0.706380513781901,0.908490198532424,0.969901994564028,0.0132721475589142
"PC_32_4_","PC_32_4_",-0.398498327473529,1.39090468209676,0.774492916250634,0.906468374033817,0.042647343495882
"PC_32_5_","PC_32_5_",1.40354613349849,3.77468975415554,0.71001878627384,0.865335608021761,0.0628154249696047
"PC_32_6_","PC_32_6_",3.15451312908044,1.26535906266167,0.0126676462623802,0.137917309852225,0.860381222573078
"PC_33_0_","PC_33_0_",-0.888080804919438,0.499896328398804,0.0756456081133034,0.241783158642521,0.616573953116878
"PC_33_1_","PC_33_1_",-0.143385356233915,0.243769053216765,0.556396958516094,0.787406002343609,0.103801278935207
"PC_33_2_","PC_33_2_",-0.31210877913387,0.338962878079282,0.357167547703241,0.639535608976484,0.194135269244045
"PC_33_3_","PC_33_3_",-0.130258354177569,0.373962888304987,0.727600676721363,0.880652347664581,0.0551955028122536
"PC_33_4_","PC_33_4_",-0.56136561926465,1.0372233057323,0.588356205135056,0.807878366774817,0.0926540211745742
"PC_33_5_","PC_33_5_",-3.03500215620139,3.86684528947243,0.432525047585703,0.694731538230773,0.158182985322139
"PC_34_0_","PC_34_0_",18.6898200677161,37.7671922718914,0.620692456127433,0.813537127396903,0.0896226223759652
"PC_34_1_","PC_34_1_",-0.000524728320483512,0.0044153070930544,0.90539974464912,0.969901994564028,0.0132721475589142
"PC_34_2_","PC_34_2_",0.000769900111707213,0.00273725800452127,0.778505685177208,0.906468374033817,0.042647343495882
"PC_34_3_","PC_34_3_",0.0471710958968636,0.0507086637380922,0.352248177659394,0.637324262547184,0.195639547878543
"PC_34_4_","PC_34_4_",0.194788111794428,0.120761845114198,0.106745846963356,0.294411932753772,0.531044591671177
"PC_34_5_","PC_34_5_",-0.173768228980981,0.569303332078578,0.760191288975771,0.901752530533155,0.0449126302737594
"PC_35_0_","PC_35_0_",-0.524949679217167,0.957083786297013,0.58335635932659,0.807401893093497,0.0929102366459231
"PC_35_1_","PC_35_1_",-0.307003305979522,0.160546754279561,0.0558459123612406,0.205368839005852,0.687465452045723
"PC_35_2_","PC_35_2_",-0.371300897144932,0.15275670781695,0.0150710021368253,0.137917309852225,0.860381222573078
"PC_35_3_","PC_35_3_",-0.264522351920707,0.402184510494981,0.510721974480409,0.751158605130599,0.124268353194961
"PC_35_4_","PC_35_4_",-0.116954934747423,0.646764366857599,0.856500366244154,0.948958864289241,0.0227526130725965
"PC_35_5_","PC_35_5_",0.178791184217716,1.07499746220513,0.867906879768607,0.948958864289241,0.0227526130725965
"PC_36_1_","PC_36_1_",0.00143699108871719,0.000728844482268741,0.0486550822578151,0.193488815490381,0.713344134062105
"PC_36_2_","PC_36_2_",0.000214063311349778,0.00456332926172103,0.962585388427095,0.988601209735935,0.00497886243550919
"PC_36_3_","PC_36_3_",0.00471925428112095,0.00895435227701845,0.598169498364393,0.807878366774817,0.0926540211745742
"PC_36_4_","PC_36_4_",0.00381912503505686,0.00592573645376356,0.519252582339783,0.755678226213642,0.121663091175764
"PC_36_5_","PC_36_5_",0.00233633298066361,0.0103676370893304,0.82170805865996,0.934264275731738,0.02953025732724
"PC_36_6_","PC_36_6_",0.179898235179853,0.199890476993876,0.368128754479343,0.652331782548887,0.185531461506109
"PC_37_1_","PC_37_1_",-1.06606374234384,0.935769854333376,0.254604272153077,0.534200374701548,0.272295811689491
"PC_37_2_","PC_37_2_",-1.99361824931696,0.921747967363371,0.0305514115319994,0.160747426829905,0.793855970332311
"PC_37_3_","PC_37_3_",-0.0248278224942135,0.510730482488183,0.961228206623117,0.988601209735935,0.00497886243550919
"PC_37_4_","PC_37_4_",-0.300826514157327,0.220795894606058,0.173051417336713,0.416785807951801,0.380087077695951
"PC_37_5_","PC_37_5_",-0.288630815045057,0.163211477262238,0.0769862381970651,0.243789754290706,0.612984550352217
"PC_37_6_","PC_37_6_",0.10547203129306,0.436590315533344,0.809104657239655,0.931425117630251,0.0308520546777862
"PC_38_0_","PC_38_0_",-0.0739203903184612,0.0236822088038898,0.00180025795895367,0.0653299956269437,1.18488737088097
"PC_38_2_","PC_38_2_",-0.25420618079618,0.0893820153557567,0.00445452146553118,0.0902180807775345,1.04470641595026
"PC_38_3_","PC_38_3_",0.0222296044277533,0.0155002092386707,0.151529842116334,0.378271576669971,0.422196290372984
"PC_38_4_","PC_38_4_",0.0101705951580496,0.010048357743685,0.311459208630434,0.595078487997812,0.225425749134817
"PC_38_5_","PC_38_5_",0.00166985461992336,0.0103045516962711,0.871266325692461,0.948958864289241,0.0227526130725965
"PC_38_6_","PC_38_6_",0.0116399045363942,0.00883153221270982,0.187505729641086,0.439225750255146,0.357312206659296
"PC_38_7_","PC_38_7_",0.0123852314966634,0.0261410014731209,0.635652765295725,0.82035187068354,0.0859998272282254
"PC_39_2_","PC_39_2_",-2.08747613893091,1.01592315165646,0.0399023927695899,0.183838008156765,0.735564694112774
"PC_39_3_","PC_39_3_",-1.98094263589089,1.19046512877863,0.0961109754035612,0.283361668862224,0.547658898363485
"PC_39_4_","PC_39_4_",-1.09716104273365,0.549734557915299,0.0459555359687306,0.187104682158403,0.727915344460893
"PC_39_5_","PC_39_5_",-0.611854297594257,0.670436354839158,0.361441904960881,0.643818393211569,0.191236620138472
"PC_39_6_","PC_39_6_",-0.222342487060906,0.298043892004609,0.45566388104079,0.705145010479413,0.151721562760285
"PC_39_7_","PC_39_7_",0.00966883000371115,0.335734387822949,0.977024861925467,0.991981159572821,0.00349657620394851
"PC_40_1_","PC_40_1_",0.521733070802778,0.420609280599165,0.214819290137123,0.486544352495999,0.312877564097997
"PC_40_2_","PC_40_2_",0.574035979015759,0.434306201627724,0.186257735228534,0.439225750255146,0.357312206659296
"PC_40_3_","PC_40_3_",-0.182942686471632,0.580954924902466,0.752837606933058,0.901205552081082,0.0451761413703665
"PC_40_4_","PC_40_4_",0.0995785746694029,0.15177148320533,0.511754254372601,0.751158605130599,0.124268353194961
"PC_40_5_","PC_40_5_",0.0360749610626747,0.0423057630070734,0.393814717340568,0.666755610546903,0.176033321165932
"PC_40_6_","PC_40_6_",0.0351570228835488,0.0179099798778862,0.0496479103003761,0.194391140241294,0.71132353278423
"PC_40_7_","PC_40_7_",0.0260296163942206,0.0354955856723544,0.463363391028894,0.710629057093639,0.148357038505252
"PC_40_8_","PC_40_8_",0.068809993541251,0.0591839703961949,0.244973247688078,0.520377954716291,0.283681110165531
"PC_40_9_","PC_40_9_",0.0392764305617636,0.0310654464030674,0.206117903746761,0.469948820542615,0.327949436034902
"PC_41_2_","PC_41_2_",0.0869297270753428,1.78690157411327,0.961199576233722,0.988601209735935,0.00497886243550919
"PC_41_3_","PC_41_3_",0.691051166641752,1.21377844129343,0.569126237546551,0.797709726397215,0.0981551126060516
"PC_41_4_","PC_41_4_",1.13413804622158,0.628427138999223,0.0711177561599072,0.24081458026424,0.618317221996401
"PC_41_5_","PC_41_5_",-1.54645560789407,1.87765733829741,0.410161722608532,0.677658498222792,0.168989111002648
"PC_41_8_","PC_41_8_",-1.12077187746022,1.42106689365279,0.430297069118496,0.694731538230773,0.158182985322139
"PC_42_0_","PC_42_0_",0.758605328228535,0.930407063149601,0.414873269563811,0.68214739514819,0.166121774928243
"PC_42_10_","PC_42_10_",-1.88451024604271,0.710820746877303,0.00802122510490137,0.114302457744845,0.941944431253465
"PC_42_2_","PC_42_2_",0.0303485680241049,0.0320770040108739,0.344089403214478,0.632680515587911,0.198815540130628
"PC_42_4_","PC_42_4_",0.588242856714208,0.562769150004404,0.295900541057929,0.578274200238924,0.237866183355778
"PC_42_5_","PC_42_5_",1.89215019026093,1.23707781874617,0.126132596360091,0.334398046163962,0.475736268741062
"PC_42_6_","PC_42_6_",-1.03979645344134,0.906512162949322,0.251369310222397,0.530668543802839,0.275176655083516
"PC_42_7_","PC_42_7_",0.138782789185527,0.501292235621791,0.781895234912211,0.906468374033817,0.042647343495882
"PC_43_2_","PC_43_2_",0.209280267857959,1.85907899912657,0.91036987325876,0.969901994564028,0.0132721475589142
"PC_43_6_","PC_43_6_",-0.551535642649014,1.02905220274753,0.591982955657801,0.807878366774817,0.0926540211745742
"PC_44_1_","PC_44_1_",0.378827358125995,0.164777777605608,0.0215038202381881,0.137917309852225,0.860381222573078
"PC_44_10_","PC_44_10_",-1.12293947226866,0.826977355101595,0.174500436241603,0.417336707654743,0.379513414399778
"PC_44_12_","PC_44_12_",0.334273532753799,0.774027474570896,0.665841264316361,0.840286761609577,0.075572478543166
"PC_44_3_","PC_44_3_",-0.00848487088728669,0.132603741990798,0.948980846813461,0.983489241243041,0.00723038662856543
"PC_44_5_","PC_44_5_",-0.0857176464058643,0.204362830898122,0.674895666433559,0.842388021606851,0.0744878172582689
"PC_44_6_","PC_44_6_",-0.0265963584189755,0.393794133166792,0.946152824690183,0.983489241243041,0.00723038662856543
"PC_44_7_","PC_44_7_",-0.423359666659576,1.98143492768791,0.830809734597117,0.937745641030409,0.0279149459251361
"PC_46_1_","PC_46_1_",-117.083617920679,11649.7689717079,0.991981159572821,0.991981159572821,0.00349657620394851
"PC_46_2_","PC_46_2_",0.170292607277825,0.190266756897154,0.370776243619687,0.653636470710995,0.184663723631936
"PC_O_28_1_","PC_O_28_1_",-15.1429459649715,8.72982512118386,0.0828077952861635,0.255137531422233,0.593225650795734
"PC_O_30_0_","PC_O_30_0_",-6.56560714237371,2.98819868316244,0.028007670801002,0.152694403263363,0.816176880929059
"PC_O_30_2_","PC_O_30_2_",-1.26844840231844,1.44444179155825,0.379857873035765,0.658055639713616,0.181737384503043
"PC_O_32_0_","PC_O_32_0_",-0.576757913659165,0.384868976566496,0.13398197504216,0.349785003545181,0.456198814117458
"PC_O_32_1_","PC_O_32_1_",-0.866305937521166,0.450991049573577,0.0547450901500627,0.203508922079581,0.691416546021122
"PC_O_32_2_","PC_O_32_2_",-1.21525539591056,1.49992463489335,0.417818932695586,0.683703708047323,0.16513206470999
